Type,Diameter,Height
F,0.405,0.125
F,0.47,0.15
F,0.425,0.145
F,0.435,0.14
F,0.44,0.125
F,0.415,0.18
F,0.43,0.135
F,0.405,0.12
F,0.43,0.14
F,0.43,0.15
F,0.455,0.19
F,0.455,0.16
F,0.435,0.15
F,0.41,0.16
F,0.425,0.125
F,0.445,0.18
F,0.465,0.16
F,0.43,0.145
F,0.44,0.155
F,0.42,0.18
F,0.44,0.135
F,0.45,0.175
F,0.44,0.15
F,0.44,0.135
F,0.44,0.15
F,0.46,0.135
F,0.44,0.12
F,0.445,0.15
F,0.45,0.18
F,0.43,0.16
F,0.465,0.155
F,0.44,0.19
F,0.45,0.15
F,0.445,0.14
F,0.465,0.14
F,0.46,0.16
F,0.47,0.165
F,0.48,0.165
F,0.465,0.175
F,0.43,0.155
F,0.435,0.155
F,0.475,0.16
F,0.46,0.15
F,0.45,0.155
F,0.46,0.175
F,0.435,0.14
F,0.45,0.195
F,0.425,0.15
F,0.45,0.17
F,0.45,0.15
F,0.46,0.17
F,0.45,0.145
F,0.465,0.165
F,0.46,0.165
F,0.465,0.15
F,0.44,0.14
F,0.46,0.14
F,0.455,0.16
F,0.47,0.155
F,0.465,0.15
F,0.46,0.16
F,0.47,0.165
F,0.455,0.14
F,0.475,0.16
F,0.475,0.15
F,0.475,0.135
F,0.485,0.165
F,0.45,0.15
F,0.47,0.17
F,0.485,0.145
F,0.5,0.185
F,0.49,0.15
F,0.47,0.165
F,0.475,0.165
F,0.475,0.175
F,0.485,0.16
F,0.515,0.17
F,0.455,0.145
F,0.47,0.155
F,0.455,0.145
F,0.48,0.175
F,0.45,0.16
F,0.495,0.165
F,0.5,0.18
F,0.465,0.15
F,0.475,0.155
F,0.475,0.17
F,0.47,0.155
F,0.515,0.135
F,0.455,0.135
F,0.475,0.145
F,0.495,0.155
F,0.48,0.175
F,0.49,0.16
F,0.51,0.175
F,0.475,0.16
F,0.465,0.14
F,0.475,0.15
F,0.485,0.155
F,0.5,0.165
F,0.485,0.2
F,0.485,0.175
F,0.515,0.16
F,0.49,0.165
F,0.49,0.155
F,0.485,0.16
F,0.49,0.11
F,0.48,0.2
F,0.5,0.175
F,0.485,0.17
F,0.495,0.145
F,0.505,0.195
F,0.485,0.165
F,0.495,0.015
F,0.5,0.165
F,0.495,0.175
F,0.49,0.17
F,0.51,0.17
F,0.49,0.155
F,0.505,0.17
F,0.515,0.205
F,0.5,0.15
F,0.48,0.195
F,0.475,0.175
F,0.5,0.17
F,0.525,0.175
F,0.49,0.18
F,0.505,0.175
F,0.51,0.16
F,0.52,0.18
F,0.49,0.16
F,0.5,0.15
F,0.5,0.19
F,0.5,0.16
F,0.495,0.155
F,0.5,0.185
F,0.49,0.155
F,0.475,0.165
F,0.525,0.165
F,0.495,0.16
F,0.46,0.16
F,0.51,0.15
F,0.52,0.2
F,0.49,0.16
F,0.505,0.19
F,0.5,0.175
F,0.505,0.165
F,0.5,0.175
F,0.505,0.205
F,0.54,0.2
F,0.525,0.155
F,0.525,0.17
F,0.53,0.195
F,0.52,0.175
F,0.535,0.175
F,0.54,0.155
F,0.53,0.17
F,0.55,0.18
F,0.525,0.19
F,0.55,0.17
F,0.54,0.205
F,0.565,0.18
F,0.55,0.195
F,0.58,0.185
F,0.57,0.215
F,0.26,0.09
F,0.275,0.065
F,0.265,0.09
F,0.28,0.11
F,0.29,0.115
F,0.29,0.105
F,0.325,0.11
F,0.315,0.11
F,0.305,0.125
F,0.295,0.095
F,0.31,0.115
F,0.335,0.115
F,0.325,0.105
F,0.315,0.11
F,0.34,0.13
F,0.305,0.105
F,0.33,0.125
F,0.32,0.13
F,0.335,0.095
F,0.34,0.1
F,0.34,0.13
F,0.36,0.125
F,0.35,0.14
F,0.35,0.14
F,0.36,0.11
F,0.375,0.125
F,0.33,0.15
F,0.36,0.12
F,0.355,0.1
F,0.36,0.12
F,0.36,0.13
F,0.375,0.125
F,0.39,0.12
F,0.375,0.125
F,0.375,0.125
F,0.405,0.13
F,0.375,0.135
F,0.38,0.125
F,0.365,0.145
F,0.38,0.145
F,0.37,0.14
F,0.385,0.13
F,0.4,0.125
F,0.395,0.14
F,0.4,0.125
F,0.375,0.115
F,0.405,0.16
F,0.4,0.14
F,0.4,0.12
F,0.415,0.14
F,0.405,0.12
F,0.395,0.165
F,0.41,0.125
F,0.415,0.145
F,0.425,0.15
F,0.41,0.16
F,0.415,0.15
F,0.4,0.135
F,0.425,0.14
F,0.43,0.165
F,0.41,0.13
F,0.385,0.125
F,0.405,0.145
F,0.415,0.17
F,0.435,0.16
F,0.4,0.15
F,0.42,0.145
F,0.385,0.14
F,0.415,0.16
F,0.44,0.135
F,0.415,0.2
F,0.435,0.15
F,0.41,0.125
F,0.42,0.175
F,0.45,0.145
F,0.45,0.15
F,0.38,0.165
F,0.47,0.15
F,0.44,0.14
F,0.44,0.155
F,0.45,0.16
F,0.445,0.155
F,0.445,0.155
F,0.45,0.175
F,0.455,0.13
F,0.46,0.15
F,0.465,0.16
F,0.435,0.15
F,0.445,0.155
F,0.47,0.14
F,0.45,0.16
F,0.42,0.135
F,0.47,0.155
F,0.45,0.135
F,0.42,0.19
F,0.46,0.165
F,0.48,0.17
F,0.455,0.12
F,0.43,0.17
F,0.5,0.165
F,0.475,0.155
F,0.46,0.185
F,0.435,0.155
F,0.425,0.155
F,0.45,0.16
F,0.435,0.175
F,0.445,0.14
F,0.465,0.145
F,0.455,0.175
F,0.455,0.15
F,0.465,0.17
F,0.48,0.15
F,0.465,0.15
F,0.475,0.165
F,0.465,0.145
F,0.44,0.135
F,0.46,0.155
F,0.47,0.15
F,0.475,0.155
F,0.455,0.145
F,0.48,0.18
F,0.45,0.14
F,0.47,0.19
F,0.48,0.17
F,0.48,0.165
F,0.475,0.17
F,0.5,0.16
F,0.485,0.16
F,0.475,0.175
F,0.48,0.15
F,0.49,0.15
F,0.465,0.155
F,0.465,0.16
F,0.475,0.16
F,0.46,0.145
F,0.495,0.175
F,0.48,0.165
F,0.52,0.15
F,0.475,0.155
F,0.475,0.155
F,0.455,0.145
F,0.485,0.16
F,0.5,0.165
F,0.46,0.15
F,0.495,0.165
F,0.475,0.175
F,0.5,0.15
F,0.475,0.16
F,0.485,0.175
F,0.48,0.165
F,0.48,0.17
F,0.5,0.17
F,0.51,0.18
F,0.48,0.165
F,0.495,0.165
F,0.48,0.17
F,0.475,0.175
F,0.485,0.175
F,0.49,0.155
F,0.49,0.145
F,0.47,0.17
F,0.475,0.16
F,0.485,0.165
F,0.485,0.15
F,0.5,0.185
F,0.5,0.175
F,0.49,0.225
F,0.475,0.155
F,0.48,0.165
F,0.485,0.185
F,0.495,0.19
F,0.49,0.17
F,0.515,0.19
F,0.5,0.15
F,0.505,0.145
F,0.49,0.175
F,0.475,0.15
F,0.5,0.18
F,0.495,0.175
F,0.5,0.175
F,0.505,0.165
F,0.48,0.145
F,0.515,0.165
F,0.5,0.155
F,0.5,0.16
F,0.515,0.15
F,0.48,0.17
F,0.515,0.175
F,0.51,0.19
F,0.52,0.175
F,0.51,0.155
F,0.525,0.17
F,0.535,0.19
F,0.51,0.17
F,0.545,0.175
F,0.51,0.185
F,0.535,0.175
F,0.545,0.185
F,0.52,0.195
F,0.51,0.175
F,0.505,0.175
F,0.51,0.175
F,0.51,0.175
F,0.525,0.19
F,0.52,0.19
F,0.525,0.175
F,0.505,0.175
F,0.505,0.165
F,0.495,0.21
F,0.515,0.17
F,0.535,0.205
F,0.525,0.18
F,0.53,0.18
F,0.53,0.17
F,0.53,0.18
F,0.515,0.18
F,0.5,0.15
F,0.525,0.21
F,0.51,0.175
F,0.585,0.16
F,0.505,0.175
F,0.55,0.155
F,0.525,0.195
F,0.57,0.225
F,0.51,0.195
F,0.53,0.175
F,0.52,0.185
F,0.53,0.17
F,0.58,0.195
F,0.535,0.175
F,0.55,0.185
F,0.55,0.155
F,0.535,0.175
F,0.56,0.185
F,0.525,0.19
F,0.535,0.22
F,0.57,0.185
F,0.56,0.205
F,0.53,0.17
F,0.54,0.205
F,0.5,0.15
F,0.585,0.23
F,0.58,0.195
F,0.55,0.2
F,0.55,0.18
F,0.575,0.195
F,0.555,0.18
F,0.57,0.165
F,0.32,0.115
F,0.305,0.1
F,0.345,0.11
F,0.325,0.115
F,0.35,0.12
F,0.32,0.12
F,0.355,0.115
F,0.345,0.105
F,0.355,0.15
F,0.335,0.14
F,0.35,0.125
F,0.38,0.13
F,0.35,0.145
F,0.375,0.105
F,0.35,0.115
F,0.38,0.145
F,0.4,0.155
F,0.375,0.135
F,0.385,0.125
F,0.37,0.115
F,0.385,0.135
F,0.375,0.15
F,0.375,0.115
F,0.41,0.15
F,0.385,0.115
F,0.405,0.18
F,0.34,0.18
F,0.425,0.135
F,0.405,0.12
F,0.405,0.14
F,0.43,0.15
F,0.41,0.135
F,0.4,0.115
F,0.415,0.115
F,0.455,0.165
F,0.475,0.155
F,0.42,0.14
F,0.43,0.165
F,0.41,0.125
F,0.415,0.15
F,0.44,0.175
F,0.43,0.155
F,0.425,0.14
F,0.44,0.14
F,0.49,0.155
F,0.445,0.125
F,0.45,0.165
F,0.445,0.135
F,0.45,0.185
F,0.465,0.165
F,0.46,0.12
F,0.455,0.12
F,0.465,0.145
F,0.44,0.125
F,0.475,0.185
F,0.485,0.15
F,0.42,0.155
F,0.46,0.15
F,0.475,0.165
F,0.455,0.17
F,0.47,0.17
F,0.415,0.15
F,0.475,0.155
F,0.47,0.155
F,0.45,0.15
F,0.465,0.15
F,0.43,0.21
F,0.465,0.155
F,0.47,0.135
F,0.465,0.16
F,0.45,0.14
F,0.475,0.155
F,0.5,0.17
F,0.485,0.165
F,0.505,0.18
F,0.475,0.14
F,0.485,0.17
F,0.475,0.15
F,0.47,0.165
F,0.485,0.165
F,0.45,0.13
F,0.495,0.16
F,0.49,0.17
F,0.525,0.155
F,0.475,0.175
F,0.49,0.19
F,0.505,0.16
F,0.51,0.18
F,0.54,0.165
F,0.495,0.17
F,0.485,0.175
F,0.5,0.175
F,0.49,0.175
F,0.49,0.155
F,0.49,0.2
F,0.505,0.175
F,0.445,0.16
F,0.52,0.18
F,0.47,0.145
F,0.5,0.16
F,0.515,0.155
F,0.495,0.16
F,0.49,0.19
F,0.48,0.16
F,0.495,0.165
F,0.51,0.185
F,0.495,0.2
F,0.475,0.15
F,0.515,0.16
F,0.485,0.165
F,0.52,0.165
F,0.505,0.155
F,0.495,0.18
F,0.495,0.195
F,0.485,0.19
F,0.525,0.18
F,0.505,0.165
F,0.485,0.155
F,0.5,0.17
F,0.485,0.185
F,0.5,0.18
F,0.495,0.17
F,0.485,0.145
F,0.5,0.165
F,0.505,0.165
F,0.5,0.2
F,0.52,0.17
F,0.505,0.165
F,0.59,0.22
F,0.525,0.19
F,0.52,0.195
F,0.5,0.17
F,0.495,0.175
F,0.505,0.165
F,0.51,0.155
F,0.54,0.215
F,0.505,0.195
F,0.515,0.18
F,0.515,0.155
F,0.515,0.17
F,0.5,0.205
F,0.455,0.17
F,0.54,0.175
F,0.545,0.185
F,0.505,0.185
F,0.53,0.185
F,0.525,0.2
F,0.525,0.19
F,0.505,0.16
F,0.515,0.185
F,0.52,0.165
F,0.54,0.195
F,0.53,0.225
F,0.54,0.195
F,0.515,0.17
F,0.51,0.155
F,0.52,0.195
F,0.51,0.185
F,0.535,0.185
F,0.54,0.21
F,0.51,0.15
F,0.56,0.195
F,0.51,0.2
F,0.52,0.185
F,0.56,0.195
F,0.55,0.19
F,0.55,0.175
F,0.54,0.16
F,0.565,0.175
F,0.535,0.185
F,0.56,0.22
F,0.565,0.19
F,0.535,0.2
F,0.55,0.17
F,0.555,0.22
F,0.575,0.2
F,0.56,0.175
F,0.545,0.17
F,0.56,0.17
F,0.56,0.18
F,0.55,0.17
F,0.565,0.195
F,0.545,0.175
F,0.525,0.185
F,0.565,0.18
F,0.545,0.185
F,0.59,0.205
F,0.6,0.2
F,0.57,0.205
F,0.53,0.19
F,0.56,0.185
F,0.58,0.19
F,0.56,0.19
F,0.6,0.22
F,0.57,0.21
F,0.565,0.215
F,0.55,0.195
F,0.625,0.21
F,0.575,0.2
F,0.63,0.215
F,0.305,0.105
F,0.3,0.105
F,0.325,0.11
F,0.325,0.105
F,0.325,0.135
F,0.345,0.17
F,0.345,0.115
F,0.36,0.11
F,0.355,0.14
F,0.365,0.13
F,0.375,0.15
F,0.375,0.105
F,0.39,0.125
F,0.38,0.135
F,0.38,0.145
F,0.38,0.13
F,0.39,0.135
F,0.4,0.145
F,0.385,0.115
F,0.405,0.15
F,0.375,0.18
F,0.39,0.175
F,0.385,0.135
F,0.38,0.145
F,0.395,0.12
F,0.435,0.17
F,0.395,0.14
F,0.41,0.155
F,0.405,0.125
F,0.41,0.115
F,0.44,0.15
F,0.405,0.16
F,0.41,0.15
F,0.43,0.125
F,0.4,0.165
F,0.46,0.18
F,0.44,0.155
F,0.44,0.16
F,0.45,0.135
F,0.505,0.21
F,0.45,0.16
F,0.45,0.185
F,0.45,0.165
F,0.465,0.18
F,0.44,0.125
F,0.45,0.16
F,0.45,0.16
F,0.48,0.15
F,0.45,0.1
F,0.45,0.12
F,0.44,0.18
F,0.465,0.17
F,0.455,0.165
F,0.415,0.155
F,0.475,0.185
F,0.465,0.15
F,0.455,0.165
F,0.455,0.155
F,0.465,0.14
F,0.465,0.155
F,0.465,0.145
F,0.45,0.165
F,0.465,0.165
F,0.47,0.16
F,0.495,0.185
F,0.485,0.15
F,0.47,0.195
F,0.47,0.16
F,0.48,0.19
F,0.48,0.16
F,0.49,0.17
F,0.5,0.175
F,0.475,0.165
F,0.495,0.16
F,0.5,0.175
F,0.515,0.155
F,0.48,0.18
F,0.48,0.155
F,0.48,0.15
F,0.505,0.165
F,0.51,0.185
F,0.5,0.175
F,0.52,0.175
F,0.51,0.2
F,0.505,0.19
F,0.5,0.17
F,0.51,0.2
F,0.48,0.19
F,0.51,0.18
F,0.485,0.15
F,0.52,0.19
F,0.5,0.165
F,0.565,0.2
F,0.505,0.19
F,0.545,0.165
F,0.515,0.2
F,0.5,0.14
F,0.53,0.185
F,0.5,0.165
F,0.535,0.175
F,0.5,0.155
F,0.55,0.19
F,0.53,0.205
F,0.525,0.19
F,0.525,0.195
F,0.525,0.17
F,0.565,0.195
F,0.515,0.175
F,0.5,0.185
F,0.505,0.17
F,0.55,0.2
F,0.54,0.195
F,0.525,0.19
F,0.545,0.13
F,0.535,0.18
F,0.57,0.18
F,0.555,0.195
F,0.57,0.195
F,0.53,0.195
F,0.555,0.17
F,0.575,0.18
F,0.575,0.215
F,0.565,0.17
F,0.575,0.185
F,0.565,0.205
F,0.565,0.205
F,0.575,0.22
F,0.615,0.205
F,0.3,0.1
F,0.31,0.12
F,0.335,0.12
F,0.35,0.11
F,0.36,0.125
F,0.35,0.145
F,0.35,0.135
F,0.365,0.11
F,0.355,0.13
F,0.39,0.11
F,0.375,0.14
F,0.35,0.115
F,0.4,0.115
F,0.375,0.145
F,0.39,0.135
F,0.4,0.145
F,0.385,0.13
F,0.4,0.15
F,0.4,0.13
F,0.39,0.105
F,0.38,0.13
F,0.415,0.13
F,0.425,0.145
F,0.415,0.17
F,0.415,0.15
F,0.435,0.17
F,0.425,0.13
F,0.4,0.15
F,0.45,0.135
F,0.435,0.175
F,0.445,0.175
F,0.41,0.145
F,0.42,0.14
F,0.43,0.125
F,0.435,0.125
F,0.46,0.19
F,0.46,0.165
F,0.455,0.17
F,0.455,0.165
F,0.475,0.165
F,0.465,0.14
F,0.42,0.155
F,0.475,0.16
F,0.445,0.13
F,0.465,0.16
F,0.485,0.205
F,0.495,0.185
F,0.495,0.235
F,0.5,0.18
F,0.505,0.19
F,0.45,0.195
F,0.485,0.16
F,0.46,0.17
F,0.495,0.17
F,0.45,0.165
F,0.51,0.15
F,0.5,0.175
F,0.485,0.165
F,0.525,0.195
F,0.475,0.13
F,0.495,0.16
F,0.475,0.19
F,0.5,0.17
F,0.525,0.2
F,0.5,0.18
F,0.51,0.155
F,0.515,0.195
F,0.52,0.175
F,0.5,0.22
F,0.53,0.17
F,0.525,0.16
F,0.57,0.185
F,0.52,0.19
F,0.52,0.15
F,0.545,0.175
F,0.555,0.205
F,0.55,0.175
F,0.55,0.19
F,0.545,0.205
F,0.55,0.16
F,0.525,0.205
F,0.575,0.205
F,0.575,0.205
F,0.55,0.2
F,0.545,0.18
F,0.575,0.17
F,0.575,0.215
F,0.565,0.225
F,0.365,0.115
F,0.38,0.135
F,0.355,0.13
F,0.385,0.135
F,0.395,0.16
F,0.365,0.14
F,0.44,0.155
F,0.425,0.14
F,0.41,0.17
F,0.38,0.14
F,0.405,0.115
F,0.42,0.15
F,0.415,0.175
F,0.425,0.135
F,0.435,0.17
F,0.465,0.15
F,0.455,0.18
F,0.455,0.165
F,0.445,0.155
F,0.45,0.165
F,0.46,0.17
F,0.465,0.155
F,0.495,0.16
F,0.485,0.165
F,0.45,0.235
F,0.475,0.135
F,0.46,0.17
F,0.47,0.25
F,0.485,0.145
F,0.495,0.17
F,0.485,0.165
F,0.47,0.145
F,0.475,0.17
F,0.47,0.175
F,0.51,0.205
F,0.48,0.23
F,0.51,0.175
F,0.515,0.18
F,0.485,0.135
F,0.5,0.16
F,0.475,0.175
F,0.535,0.19
F,0.51,0.175
F,0.505,0.19
F,0.55,0.175
F,0.51,0.16
F,0.525,0.18
F,0.54,0.165
F,0.535,0.22
F,0.54,0.215
F,0.53,0.2
F,0.575,0.17
F,0.565,0.21
F,0.55,0.205
F,0.61,0.235
F,0.65,0.25
F,0.39,0.14
F,0.36,0.145
F,0.4,0.125
F,0.37,0.13
F,0.38,0.15
F,0.375,0.14
F,0.39,0.13
F,0.395,0.145
F,0.41,0.135
F,0.4,0.12
F,0.4,0.13
F,0.405,0.145
F,0.425,0.145
F,0.415,0.16
F,0.415,0.185
F,0.44,0.16
F,0.435,0.185
F,0.45,0.195
F,0.46,0.185
F,0.48,0.2
F,0.475,0.15
F,0.47,0.2
F,0.495,0.19
F,0.475,0.145
F,0.48,0.175
F,0.495,0.19
F,0.49,0.17
F,0.47,0.14
F,0.47,0.225
F,0.515,0.15
F,0.5,0.15
F,0.505,0.17
F,0.54,0.175
F,0.5,0.225
F,0.53,0.185
F,0.545,0.16
F,0.55,0.18
F,0.56,0.165
F,0.54,0.185
F,0.535,0.175
F,0.575,0.175
F,0.315,0.105
F,0.35,0.125
F,0.375,0.135
F,0.4,0.17
F,0.425,0.165
F,0.39,0.135
F,0.405,0.125
F,0.425,0.155
F,0.475,0.155
F,0.425,0.125
F,0.44,0.155
F,0.445,0.195
F,0.465,0.18
F,0.435,0.14
F,0.48,0.15
F,0.515,0.17
F,0.5,0.205
F,0.525,0.215
F,0.5,0.155
F,0.52,0.21
F,0.545,0.23
F,0.545,0.165
F,0.515,0.215
F,0.565,0.195
F,0.515,0.18
F,0.535,0.16
F,0.545,0.18
F,0.525,0.175
F,0.595,0.225
F,0.6,0.195
F,0.36,0.11
F,0.4,0.155
F,0.385,0.105
F,0.38,0.155
F,0.41,0.15
F,0.405,0.14
F,0.42,0.13
F,0.425,0.17
F,0.43,0.17
F,0.44,0.135
F,0.435,0.165
F,0.44,0.14
F,0.455,0.16
F,0.5,0.165
F,0.485,0.22
F,0.485,0.19
F,0.48,0.175
F,0.505,0.185
F,0.52,0.2
F,0.555,0.195
F,0.535,0.19
F,0.55,0.21
F,0.56,0.215
F,0.565,0.195
F,0.565,0.24
F,0.56,0.175
F,0.35,0.13
F,0.405,0.14
F,0.405,0.175
F,0.455,0.15
F,0.48,0.175
F,0.45,0.175
F,0.45,0.17
F,0.455,0.155
F,0.475,0.18
F,0.485,0.165
F,0.5,0.18
F,0.54,0.175
F,0.525,0.19
F,0.49,0.19
F,0.53,0.19
F,0.5,0.18
F,0.525,0.205
F,0.56,0.21
F,0.585,0.19
F,0.425,0.14
F,0.41,0.165
F,0.44,0.15
F,0.455,0.175
F,0.46,0.15
F,0.44,0.175
F,0.45,0.16
F,0.475,0.18
F,0.485,0.165
F,0.525,0.19
F,0.52,0.18
F,0.55,0.175
F,0.58,0.2
F,0.555,0.205
F,0.555,0.2
F,0.4,0.165
F,0.415,0.15
F,0.45,0.17
F,0.47,0.17
F,0.455,0.155
F,0.475,0.17
F,0.485,0.21
F,0.5,0.17
F,0.525,0.175
F,0.545,0.195
F,0.57,0.205
F,0.575,0.175
F,0.365,0.13
F,0.455,0.125
F,0.42,0.165
F,0.485,0.19
F,0.5,0.175
F,0.535,0.185
F,0.55,0.2
F,0.395,0.18
F,0.45,0.17
F,0.525,0.215
F,0.38,0.165
F,0.385,0.15
F,0.415,0.135
F,0.47,0.2
F,0.52,0.225
F,0.63,0.195
F,0.54,0.215
F,0.49,0.215
F,0.465,0.18
F,0.585,0.185
I,0.055,0.01
I,0.1,0.025
I,0.09,0.03
I,0.1,0.03
I,0.105,0.035
I,0.11,0.025
I,0.12,0.03
I,0.12,0.05
I,0.13,0.045
I,0.14,0.03
I,0.15,0.045
I,0.155,0.045
I,0.15,0.055
I,0.175,0.065
I,0.095,0.035
I,0.13,0.04
I,0.105,0.035
I,0.105,0.05
I,0.11,0.025
I,0.12,0.02
I,0.11,0.02
I,0.115,0.015
I,0.13,0.095
I,0.105,0.035
I,0.125,0.04
I,0.125,0.035
I,0.13,0.045
I,0.135,0.045
I,0.145,0.04
I,0.135,0.04
I,0.145,0.06
I,0.155,0.04
I,0.145,0.05
I,0.15,0.04
I,0.15,0.065
I,0.15,0.05
I,0.15,0.045
I,0.15,0.055
I,0.16,0.05
I,0.16,0.045
I,0.165,0.055
I,0.17,0.07
I,0.17,0.05
I,0.165,0.06
I,0.18,0.055
I,0.185,0.06
I,0.19,0.06
I,0.195,0.06
I,0.18,0.065
I,0.205,0.06
I,0.175,0.06
I,0.18,0.065
I,0.18,0.055
I,0.195,0.055
I,0.185,0.065
I,0.205,0.07
I,0.205,0.075
I,0.195,0.07
I,0.2,0.055
I,0.21,0.085
I,0.12,0.075
I,0.235,0.08
I,0.215,0.05
I,0.235,0.075
I,0.27,0.085
I,0.12,0.035
I,0.13,0.055
I,0.125,0.05
I,0.135,0.08
I,0.135,0.04
I,0.13,0.045
I,0.145,0.025
I,0.15,0.055
I,0.17,0.045
I,0.15,0.055
I,0.155,0.06
I,0.15,0.03
I,0.165,0.055
I,0.165,0.055
I,0.175,0.065
I,0.18,0.05
I,0.17,0.05
I,0.16,0.04
I,0.175,0.04
I,0.13,0.075
I,0.175,0.08
I,0.175,0.045
I,0.175,0.055
I,0.17,0.05
I,0.175,0.055
I,0.18,0.065
